maxNonePCDays,minPCDays,lowPercentile,PCPercentile,EPCPercentile,PCLowBound,PCUpBound,Accuracy,F1,Precision,Recall,PercentileUsed,support_start,support_end,Confidence_start,Confidence_end,start_month,end_month,instance_number,location_number,classifier
1,5,0.2,0.6,0.9,0.6,0.9,0.648514851,0.674311927,0.628205128,0.727722772,loc_Individuals.txt,17,268,0.3,1,5,9,404,519,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,17,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.648514851,0.674311927,0.628205128,0.727722772,loc_Individuals.txt,71,268,0.3,1,5,9,404,519,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,71,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.648514851,0.674311927,0.628205128,0.727722772,loc_Individuals.txt,89,268,0.3,1,5,9,404,519,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,89,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.648514851,0.674311927,0.628205128,0.727722772,loc_Individuals.txt,105,268,0.3,1,5,9,404,519,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,105,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.648514851,0.674311927,0.628205128,0.727722772,loc_Individuals.txt,116,268,0.3,1,5,9,404,519,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,116,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.648514851,0.674311927,0.628205128,0.727722772,loc_Individuals.txt,127,268,0.3,1,5,9,404,518,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,127,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.648514851,0.674311927,0.628205128,0.727722772,loc_Individuals.txt,136,268,0.3,1,5,9,404,517,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,136,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.658415842,0.68202765,0.637931034,0.732673267,loc_Individuals.txt,145,268,0.3,1,5,9,404,510,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,145,268,0.35,1,5,9,404,9,J48
